year,fertilizer_code,dry_matter,actual_yield,temperature,precipitation,solar_radiation,predicted_yield
2001,(P)KMg,21.1,1.71,286.361953037237,369.1979328307789,15880450.614379086,1.8605633
2001,N1(P)KMg,24.4,7.57,286.361953037237,369.1979328307789,15880450.614379086,7.5119023
2001,N2(P)KMg,25.3,11.8,286.361953037237,369.1979328307789,15880450.614379086,7.3180623
2001,N3(P)KMg,22.0,10.27,286.361953037237,369.1979328307789,15880450.614379086,10.091803
2001,N4(P)KMg,19.0,7.96,286.361953037237,369.1979328307789,15880450.614379086,7.979913
2001,N4,18.3,2.73,286.361953037237,369.1979328307789,15880450.614379086,2.688342
2001,N4PMg,16.9,4.11,286.361953037237,369.1979328307789,15880450.614379086,4.0933366
2001,N1+3+1(P)K2Mg2,19.0,6.8,286.361953037237,369.1979328307789,15880450.614379086,6.819821
2001,N4PK,18.0,6.77,286.361953037237,369.1979328307789,15880450.614379086,6.76706
2001,N4PK*(Mg*),19.2,8.84,286.361953037237,369.1979328307789,15880450.614379086,8.774147
2001,N5(P)KMg,16.9,6.43,286.361953037237,369.1979328307789,15880450.614379086,6.364864
2001,N6(P)KMg,18.7,7.76,286.361953037237,369.1979328307789,15880450.614379086,7.821432
2001,N1+4+1 PKMg,17.6,6.45,286.361953037237,369.1979328307789,15880450.614379086,6.4773393
2001,N1+2+1 PKMg,19.1,7.42,286.361953037237,369.1979328307789,15880450.614379086,7.0311394
2001,N1+1+1 KMg,19.0,5.2,286.361953037237,369.1979328307789,15880450.614379086,3.73875
2002,(FYM) N4 ,26.9,10.65,286.4321833591835,396.50454526394606,15391693.869281046,10.953766
2002,FYM N2,25.1,7.68,286.4321833591835,396.50454526394606,15391693.869281046,8.29888
2002,FYM,24.9,8.41,286.4321833591835,396.50454526394606,15391693.869281046,8.423774
2002,Nil,21.7,2.53,286.4321833591835,396.50454526394606,15391693.869281046,2.3737688
2002,(P)KMg,22.8,1.94,286.4321833591835,396.50454526394606,15391693.869281046,1.9783565
2002,N1(P)KMg,26.3,8.82,286.4321833591835,396.50454526394606,15391693.869281046,8.753929
2002,N2(P)KMg,26.8,10.7,286.4321833591835,396.50454526394606,15391693.869281046,9.844743
2002,N3(P)KMg,26.6,12.41,286.4321833591835,396.50454526394606,15391693.869281046,12.29222
2002,N4(P)KMg,26.2,13.6,286.4321833591835,396.50454526394606,15391693.869281046,13.199396
2002,N4,19.4,0.67,286.4321833591835,396.50454526394606,15391693.869281046,0.77176535
2002,N4PMg,24.5,4.6,286.4321833591835,396.50454526394606,15391693.869281046,4.733036
2002,N1+3+1(P)K2Mg2,27.2,12.05,286.4321833591835,396.50454526394606,15391693.869281046,12.018231
2002,N4PK,26.2,12.37,286.4321833591835,396.50454526394606,15391693.869281046,12.340904
2002,N4PK*(Mg*),26.8,13.45,286.4321833591835,396.50454526394606,15391693.869281046,11.372694
2002,N5(P)KMg,26.8,12.77,286.4321833591835,396.50454526394606,15391693.869281046,11.958066
2002,N6(P)KMg,24.9,12.73,286.4321833591835,396.50454526394606,15391693.869281046,12.237008
2002,N1+4+1 PKMg,25.7,11.94,286.4321833591835,396.50454526394606,15391693.869281046,11.418971
2002,N1+2+1 PKMg,26.1,11.23,286.4321833591835,396.50454526394606,15391693.869281046,11.417154
2002,N1+1+1 KMg,26.4,6.16,286.4321833591835,396.50454526394606,15391693.869281046,6.5017447
2003,(FYM) N4 ,26.0,8.57,287.2122349957236,360.845110476017,16407922.35620915,9.991235
2003,FYM N2,26.6,10.62,287.2122349957236,360.845110476017,16407922.35620915,10.473602
2003,FYM,28.0,9.97,287.2122349957236,360.845110476017,16407922.35620915,10.077874
2003,Nil,24.9,2.1,287.2122349957236,360.845110476017,16407922.35620915,1.9642065
2003,(P)KMg,24.0,3.85,287.2122349957236,360.845110476017,16407922.35620915,3.6876493
2003,N1(P)KMg,26.9,6.49,287.2122349957236,360.845110476017,16407922.35620915,6.1816115
2003,N2(P)KMg,26.8,7.27,287.2122349957236,360.845110476017,16407922.35620915,7.2739444
2003,N3(P)KMg,27.8,7.32,287.2122349957236,360.845110476017,16407922.35620915,7.5631595
2003,N4(P)KMg,27.9,9.07,287.2122349957236,360.845110476017,16407922.35620915,8.960922
2003,N4,21.2,1.88,287.2122349957236,360.845110476017,16407922.35620915,1.9126034
2003,N4PMg,25.1,4.87,287.2122349957236,360.845110476017,16407922.35620915,2.5148244
2003,N1+3+1(P)K2Mg2,27.2,7.92,287.2122349957236,360.845110476017,16407922.35620915,7.9335337
2003,N4PK,27.4,8.43,287.2122349957236,360.845110476017,16407922.35620915,8.997176
2003,N4PK*(Mg*),28.0,8.35,287.2122349957236,360.845110476017,16407922.35620915,8.563112
2003,N5(P)KMg,27.6,8.23,287.2122349957236,360.845110476017,16407922.35620915,8.28768
2003,N6(P)KMg,26.3,8.56,287.2122349957236,360.845110476017,16407922.35620915,8.62674
2003,N1+4+1 PKMg,25.6,7.57,287.2122349957236,360.845110476017,16407922.35620915,7.5294147
2003,N1+2+1 PKMg,25.5,7.36,287.2122349957236,360.845110476017,16407922.35620915,7.191835
2003,N1+1+1 KMg,27.2,7.07,287.2122349957236,360.845110476017,16407922.35620915,6.977173
2004,(FYM) N4 ,31.5,23.13,286.7250471925424,432.2289259752724,15845144.993464053,22.666203
2004,FYM N2,30.1,17.55,286.7250471925424,432.2289259752724,15845144.993464053,17.51959
2004,FYM,31.8,16.78,286.7250471925424,432.2289259752724,15845144.993464053,17.11161
2004,Nil,22.8,1.56,286.7250471925424,432.2289259752724,15845144.993464053,1.6279738
2004,(P)KMg,20.9,0.97,286.7250471925424,432.2289259752724,15845144.993464053,3.1387331
2004,N1(P)KMg,25.5,3.27,286.7250471925424,432.2289259752724,15845144.993464053,3.71786
2004,N2(P)KMg,27.8,11.97,286.7250471925424,432.2289259752724,15845144.993464053,11.8402195
2004,N3(P)KMg,28.7,15.13,286.7250471925424,432.2289259752724,15845144.993464053,14.849231
2004,N4(P)KMg,30.2,16.12,286.7250471925424,432.2289259752724,15845144.993464053,16.199875
2004,N4,22.6,5.33,286.7250471925424,432.2289259752724,15845144.993464053,5.297845
2004,N4PMg,27.4,9.31,286.7250471925424,432.2289259752724,15845144.993464053,9.333919
2004,N1+3+1(P)K2Mg2,27.0,13.67,286.7250471925424,432.2289259752724,15845144.993464053,13.48778
2004,N4PK,28.0,13.65,286.7250471925424,432.2289259752724,15845144.993464053,13.446505
2004,N4PK*(Mg*),29.1,13.77,286.7250471925424,432.2289259752724,15845144.993464053,14.210754
2004,N5(P)KMg,27.7,13.67,286.7250471925424,432.2289259752724,15845144.993464053,13.316108
2004,N6(P)KMg,28.5,13.6,286.7250471925424,432.2289259752724,15845144.993464053,14.539993
2004,N1+4+1 PKMg,28.3,13.01,286.7250471925424,432.2289259752724,15845144.993464053,13.361505
2004,N1+2+1 PKMg,31.6,16.89,286.7250471925424,432.2289259752724,15845144.993464053,16.812271
2004,N1+1+1 KMg,22.8,5.86,286.7250471925424,432.2289259752724,15845144.993464053,5.944001
2005,(FYM) N4 ,31.8,20.09,286.6071934918173,388.6443942040205,15810205.49019608,19.99859
2005,FYM N3,36.5,22.26,286.6071934918173,388.6443942040205,15810205.49019608,18.29804
2005,FYM,26.8,14.02,286.6071934918173,388.6443942040205,15810205.49019608,13.407733
2005,Nil,27.8,2.65,286.6071934918173,388.6443942040205,15810205.49019608,3.0790799
2005,(P)KMg,27.1,3.21,286.6071934918173,388.6443942040205,15810205.49019608,3.6709442
